ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Total_Reads	Mean_Abundance	Max_Abundance	N_Samples
ASV2199	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	NA	249	22.636363636363637	249	1
ASV2485	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Nosocomiicoccus	NA	228	20.727272727272727	228	1
ASV1699	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	haemolyticus	222	20.181818181818183	89	3
ASV2942	Bacteria	Actinomycetota	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	NA	212	19.272727272727273	212	1
ASV2072	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	175	15.909090909090908	91	2
ASV2707	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	epidermidis	173	15.727272727272727	115	3
ASV2622	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	coyleae	163	14.818181818181818	92	3
ASV2438	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	161	14.636363636363637	161	1
ASV3291	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	158	14.363636363636363	158	1
ASV3457	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	vaginalis	150	13.636363636363637	150	1
ASV3576	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Catenibacterium	mitsuokai	142	12.909090909090908	142	1
ASV3695	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	133	12.090909090909092	95	2
ASV3016	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	mucifaciens	131	11.909090909090908	60	3
ASV4199	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	comes	130	11.818181818181818	130	1
ASV3076	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	NA	NA	129	11.727272727272727	116	2
ASV2913	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	128	11.636363636363637	128	1
ASV3456	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	112	10.181818181818182	90	2
ASV4384	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	111	10.090909090909092	111	1
ASV3468	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	107	9.727272727272727	107	1
ASV4058	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Candidatus Metachlamydia	NA	107	9.727272727272727	107	1
ASV3817	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylobacterium	NA	106	9.636363636363637	106	1
ASV3250	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	103	9.363636363636363	71	2
ASV3588	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	NA	103	9.363636363636363	103	1
ASV4647	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	NA	95	8.636363636363637	95	1
ASV3639	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Geodermatophilaceae	Modestobacter	NA	94	8.545454545454545	37	3
ASV3709	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Specibacter	NA	91	8.272727272727273	75	2
ASV4117	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	radioresistens	91	8.272727272727273	49	3
ASV4057	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	87	7.909090909090909	87	1
ASV4267	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	NA	86	7.818181818181818	86	1
ASV4212	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	pectinoschiza	84	7.636363636363637	84	1
ASV4280	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	NA	84	7.636363636363637	84	1
ASV3431	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA	82	7.454545454545454	54	2
ASV3917	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Negativicoccus	succinicivorans	79	7.181818181818182	79	1
ASV4512	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	NA	79	7.181818181818182	79	1
ASV4307	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	77	7	77	1
ASV4705	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	77	7	77	1
ASV4268	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-010	NA	76	6.909090909090909	76	1
ASV4398	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	NA	76	6.909090909090909	76	1
ASV4500	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	72	6.545454545454546	72	1
ASV4528	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	72	6.545454545454546	72	1
ASV4131	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	NA	70	6.363636363636363	70	1
ASV4325	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA	70	6.363636363636363	51	2
ASV5009	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	70	6.363636363636363	70	1
ASV4663	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	NA	65	5.909090909090909	65	1
ASV5118	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Candidatus Protochlamydia	NA	65	5.909090909090909	65	1
ASV3880	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	64	5.818181818181818	64	1
ASV4514	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Sellimonas	NA	64	5.818181818181818	64	1
ASV4383	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA	62	5.636363636363637	44	2
ASV4499	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Psychrobacillus	NA	62	5.636363636363637	62	1
ASV4676	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	NA	60	5.454545454545454	60	1
ASV4718	Bacteria	Bacillota	Clostridia	Incertae Sedis	Incertae Sedis	Lutispora	NA	60	5.454545454545454	60	1
ASV4780	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	NA	58	5.2727272727272725	58	1
ASV4513	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	NA	56	5.090909090909091	49	2
ASV4629	Bacteria	Actinomycetota	Actinobacteria	Streptosporangiales	Streptosporangiales Incertae Sedis	Motilibacter	NA	56	5.090909090909091	56	1
ASV4877	Bacteria	Actinomycetota	Actinobacteria	Streptosporangiales	Streptosporangiales Incertae Sedis	Motilibacter	NA	54	4.909090909090909	54	1
ASV4893	Bacteria	Thermodesulfobacteriota	Desulfuromonadia	Bradymonadales	NA	NA	NA	52	4.7272727272727275	52	1
ASV5192	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Bosea	NA	52	4.7272727272727275	52	1
ASV5284	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Lawsonella	NA	52	4.7272727272727275	52	1
ASV4695	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	NA	50	4.545454545454546	50	1
ASV4866	Bacteria	Bacillota	Clostridia	NA	NA	NA	NA	50	4.545454545454546	50	1
ASV4913	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	NA	49	4.454545454545454	49	1
ASV5079	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Bosea	lupini	49	4.454545454545454	49	1
ASV4779	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA	48	4.363636363636363	48	1
ASV5038	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	48	4.363636363636363	48	1
ASV4928	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	NA	47	4.2727272727272725	47	1
ASV4991	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	NA	NA	47	4.2727272727272725	47	1
ASV4605	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	46	4.181818181818182	46	1
ASV4762	Bacteria	Actinomycetota	Actinobacteria	Kitasatosporales	Streptomycetaceae	Streptomyces	NA	44	4	44	1
ASV5008	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	NA	NA	44	4	44	1
ASV5080	Bacteria	Myxococcota	Polyangiia	Polyangiales	Sandaracinaceae	NA	NA	44	4	44	1
ASV5081	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	NA	44	4	44	1
ASV4841	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	genitalium	43	3.909090909090909	43	1
ASV4694	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter	NA	42	3.8181818181818183	42	1
ASV5106	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	42	3.8181818181818183	42	1
ASV5211	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	NA	39	3.5454545454545454	39	1
ASV4828	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gnavus group	NA	38	3.4545454545454546	38	1
ASV5082	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	37	3.3636363636363638	37	1
ASV5133	Bacteria	Myxococcota	Polyangiia	Polyangiales	BIrii41	NA	NA	37	3.3636363636363638	37	1
ASV5396	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	37	3.3636363636363638	37	1
ASV4892	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	36	3.272727272727273	36	1
ASV5117	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA	36	3.272727272727273	20	2
ASV5146	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK3A20 group	NA	36	3.272727272727273	36	1
ASV5229	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae	Oleiharenicola	NA	36	3.272727272727273	36	1
ASV5272	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	bacterium	36	3.272727272727273	36	1
ASV5326	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA	36	3.272727272727273	36	1
ASV5453	Bacteria	Myxococcota	Polyangiia	Haliangiales	Haliangiaceae	NA	NA	36	3.272727272727273	36	1
ASV5096	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	hadale	35	3.1818181818181817	35	1
ASV5147	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	NA	35	3.1818181818181817	35	1
ASV5270	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	34	3.090909090909091	34	1
ASV4974	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA	33	3	33	1
ASV5179	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	NA	33	3	33	1
ASV5325	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	33	3	33	1
ASV5356	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	33	3	33	1
ASV5358	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	NA	33	3	33	1
ASV5395	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA	33	3	33	1
ASV5298	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus	NA	32	2.909090909090909	32	1
ASV5408	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	31	2.8181818181818183	31	1
ASV5421	Bacteria	Bacillota	Clostridia	Clostridia UCG-014	NA	NA	NA	31	2.8181818181818183	31	1
ASV5439	Bacteria	Actinomycetota	Actinobacteria	Kitasatosporales	Streptomycetaceae	Streptomyces	NA	31	2.8181818181818183	31	1
ASV5314	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	30	2.727272727272727	30	1
ASV5420	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	NA	30	2.727272727272727	19	2
ASV4950	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Clostridium] innocuum group	NA	29	2.6363636363636362	29	1
ASV5244	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Ezakiella	NA	29	2.6363636363636362	29	1
ASV5324	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	NA	29	2.6363636363636362	29	1
ASV5422	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Candidatus Jidaibacter	NA	29	2.6363636363636362	29	1
ASV5535	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	epidermidis	28	2.5454545454545454	28	1
ASV5230	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA	27	2.4545454545454546	27	1
ASV5271	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	27	2.4545454545454546	27	1
ASV5449	Bacteria	Bacillota	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	NA	27	2.4545454545454546	27	1
ASV5577	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	27	2.4545454545454546	27	1
ASV5095	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	genitalium	26	2.3636363636363638	26	1
ASV5105	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA	26	2.3636363636363638	26	1
ASV5380	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	NA	26	2.3636363636363638	26	1
ASV5438	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	26	2.3636363636363638	26	1
ASV5562	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Shouchella	NA	26	2.3636363636363638	26	1
ASV5209	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA	25	2.272727272727273	13	2
ASV5484	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	NA	25	2.272727272727273	25	1
ASV5485	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	NA	25	2.272727272727273	13	2
ASV5561	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Ezakiella	NA	25	2.272727272727273	25	1
ASV5610	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	25	2.272727272727273	25	1
ASV5752	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	25	2.272727272727273	25	1
ASV5313	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA	24	2.1818181818181817	13	2
ASV5379	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA	24	2.1818181818181817	24	1
ASV5731	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	NA	NA	24	2.1818181818181817	24	1
ASV5576	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA	23	2.090909090909091	23	1
ASV5592	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Ezakiella	NA	23	2.090909090909091	23	1
ASV5623	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter	NA	23	2.090909090909091	23	1
ASV5715	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Faecalimonas	NA	23	2.090909090909091	23	1
ASV5751	Bacteria	Bacillota	Clostridia	Oscillospirales	UCG-010	NA	NA	23	2.090909090909091	23	1
ASV5210	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	22	2	22	1
ASV5359	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	22	2	22	1
ASV5409	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	22	2	22	1
ASV5637	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella	NA	22	2	22	1
ASV5749	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	22	2	22	1
ASV5574	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	21	1.9090909090909092	21	1
ASV5513	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA	20	1.8181818181818181	20	1
ASV5559	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA	20	1.8181818181818181	20	1
ASV5609	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	NA	20	1.8181818181818181	20	1
ASV5669	Bacteria	Bacillota	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	NA	NA	20	1.8181818181818181	20	1
ASV5714	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	NA	20	1.8181818181818181	20	1
ASV5796	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Pseudoclavibacter	chungangensis	20	1.8181818181818181	20	1
ASV5928	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	20	1.8181818181818181	20	1
ASV5499	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	19	1.7272727272727273	19	1
ASV5753	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	19	1.7272727272727273	19	1
ASV5774	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	herbarum	19	1.7272727272727273	19	1
ASV5661	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	18	1.6363636363636365	18	1
ASV5662	Bacteria	Myxococcota	Polyangiia	Haliangiales	Haliangiaceae	NA	NA	18	1.6363636363636365	18	1
ASV5773	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA	18	1.6363636363636365	18	1
ASV5775	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA	18	1.6363636363636365	18	1
ASV5340	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinimicrobium	NA	17	1.5454545454545454	17	1
ASV5452	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	17	1.5454545454545454	17	1
ASV5575	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	17	1.5454545454545454	17	1
ASV5638	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	NA	17	1.5454545454545454	17	1
ASV5839	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA	17	1.5454545454545454	17	1
ASV5450	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	16	1.4545454545454546	16	1
ASV5694	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA	16	1.4545454545454546	16	1
ASV5794	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA	16	1.4545454545454546	16	1
ASV5820	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA	16	1.4545454545454546	16	1
ASV5909	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Luteococcus	japonicus	16	1.4545454545454546	16	1
ASV5560	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	NA	15	1.3636363636363635	15	1
ASV5664	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Nesterenkonia	NA	15	1.3636363636363635	15	1
ASV5667	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	NA	15	1.3636363636363635	15	1
ASV5948	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	NA	15	1.3636363636363635	15	1
ASV5512	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gnavus group	NA	14	1.2727272727272727	14	1
ASV5534	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	14	1.2727272727272727	14	1
ASV5636	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylobacterium	hispanicum	14	1.2727272727272727	14	1
ASV5772	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	14	1.2727272727272727	14	1
ASV5819	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	14	1.2727272727272727	14	1
ASV5863	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Neochlamydia	NA	14	1.2727272727272727	14	1
ASV5865	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	NA	14	1.2727272727272727	14	1
ASV5911	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	Knoellia	NA	14	1.2727272727272727	14	1
ASV5986	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	NA	14	1.2727272727272727	14	1
ASV5663	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA	13	1.1818181818181819	13	1
ASV5795	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	NA	13	1.1818181818181819	13	1
ASV5797	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	13	1.1818181818181819	13	1
ASV5821	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	NA	13	1.1818181818181819	13	1
ASV5910	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Simkaniaceae	NA	NA	13	1.1818181818181819	13	1
ASV5927	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29 marine group	NA	13	1.1818181818181819	13	1
ASV5965	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	13	1.1818181818181819	13	1
ASV5693	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	NA	12	1.0909090909090908	12	1
ASV5750	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	12	1.0909090909090908	12	1
ASV5866	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tundrisphaera	NA	12	1.0909090909090908	12	1
ASV5665	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	11	1	11	1
ASV5691	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	11	1	11	1
